n,xm,ym,zm,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
29,6.722220,-0.500000,1.000000,0.548839,0.773117,0.549751,0.769395,0.651690,0.798246,0.554395,0.700955,0.367483,0.744428
30,6.722220,0.000000,1.000000,0.546092,0.910312,0.543067,0.888682,0.648353,0.939996,0.553017,0.822886,0.350265,0.846994
31,6.222220,0.000000,1.000000,0.441187,0.906927,0.444284,0.886427,0.541601,0.926736,0.465750,0.827388,0.273433,0.833506
32,0.000000,-1.388890,1.000000,-0.796152,0.457045,-0.777203,0.490393,-0.564902,0.432620,-0.733189,0.469547,-0.727265,0.301493
33,0.500000,-1.388890,1.000000,-0.705307,0.463023,-0.683960,0.495676,-0.492481,0.439849,-0.633010,0.472111,-0.640172,0.322598
34,0.500000,-0.888889,1.000000,-0.708640,0.593257,-0.678723,0.617566,-0.496737,0.557453,-0.635021,0.605741,-0.655710,0.436072
35,0.000000,-0.888889,1.000000,-0.799132,0.585593,-0.770920,0.610320,-0.568356,0.547403,-0.735333,0.602016,-0.742483,0.415254
36,0.888889,-1.388890,1.000000,-0.631142,0.468270,-0.609816,0.500613,-0.430951,0.447264,-0.553896,0.474509,-0.571451,0.339305
37,1.388890,-1.388890,1.000000,-0.537541,0.475067,-0.513688,0.506720,-0.353617,0.454649,-0.453686,0.477091,-0.484832,0.360469
38,1.388890,-0.888889,1.000000,-0.540208,0.606596,-0.510051,0.628772,-0.357611,0.575957,-0.455704,0.608904,-0.500596,0.472715
39,0.888889,-0.888889,1.000000,-0.634449,0.599100,-0.604633,0.622989,-0.434325,0.565484,-0.555808,0.606998,-0.586902,0.452691
40,1.777780,-1.388890,1.000000,-0.461249,0.480088,-0.437928,0.510963,-0.288213,0.461498,-0.375155,0.478508,-0.416502,0.376248
41,2.277780,-1.388890,1.000000,-0.364058,0.486053,-0.339741,0.516512,-0.206358,0.470101,-0.276369,0.479560,-0.330655,0.396521
42,2.277780,-0.888889,1.000000,-0.366978,0.619077,-0.337108,0.639812,-0.209514,0.594539,-0.278019,0.610701,-0.346709,0.508126
